Code	Country	Year	GDP	Trade	Military
MYS	Malaysia	1964	2674441396		70.915
MYS	Malaysia	1965	2956356984		98.697
MYS	Malaysia	1966	3143538482		124.444
MYS	Malaysia	1967	3188945512		119.026
MYS	Malaysia	1968	3330393310		123.551
MYS	Malaysia	1969	3664575983		119.156
MYS	Malaysia	1970	3864170913		123.301
MYS	Malaysia	1971	4244340334		190.02
MYS	Malaysia	1972	5043268549		274.507
MYS	Malaysia	1973	7662996767		369.991
MYS	Malaysia	1974	9496074114		458.227
MYS	Malaysia	1975	9298800799		547.135
MYS	Malaysia	1976	11050125905		479.619
MYS	Malaysia	1977	13139397879		616.341
MYS	Malaysia	1978	16358376511		764.248
MYS	Malaysia	1979	21213672089		1164.996
MYS	Malaysia	1980	24488033442		1362.169
MYS	Malaysia	1981	25004557094		2037.843
MYS	Malaysia	1982	26804401816		2132.002
MYS	Malaysia	1983	30346788438		2080.113
MYS	Malaysia	1984	33943505718		1196.992
MYS	Malaysia	1985	31200161095		1764
MYS	Malaysia	1986	27734562640		1010
MYS	Malaysia	1987	32181695507		853.31
MYS	Malaysia	1988	35271880250		1612
MYS	Malaysia	1989	38848567631		1384
MYS	Malaysia	1990	44024178343		1560
MYS	Malaysia	1991	49142784405		1740
MYS	Malaysia	1992	59167157498	-184711.04	2500
MYS	Malaysia	1993	66894448545	-379236.1	2600
MYS	Malaysia	1994	74477975918	-504329.09	3142
MYS	Malaysia	1995	88704944179	-789559.81	3514
MYS	Malaysia	1996	100855000000	-873223.04	3695
MYS	Malaysia	1997	100005000000	-573179.26	3377
MYS	Malaysia	1998	72167753771	-1077419.52	1891
MYS	Malaysia	1999	79148947368	-1931821.69	3158
MYS	Malaysia	2000	93789736842	-2915122.61	2579
MYS	Malaysia	2001	92783947368	-2982877.6	3249
MYS	Malaysia	2002	100845000000	-4322088.45	2238
MYS	Malaysia	2003	110202000000	-7845519.08	2882
MYS	Malaysia	2004	124750000000	-10088677.91	2742
MYS	Malaysia	2005	143534000000	-9486857.92	3110
MYS	Malaysia	2006	162691000000	-10035360.6	3206
MYS	Malaysia	2007	193548000000	-10979084.76	4021
MYS	Malaysia	2008	230814000000	-10646227.47	4370
MYS	Malaysia	2009	202258000000	-12698751.98	3883
MYS	Malaysia	2010	255017000000	-26628088.32	3651
MYS	Malaysia	2011	297952000000	-34250591.23	4693
MYS	Malaysia	2012	314443000000	-21779234.72	4440
MYS	Malaysia	2013	323277000000	-14222590.47	4916
MYS	Malaysia	2014	338069000000	-9298700.58	4919
MYS	Malaysia	2015	296283000000	-9065321.38	4532
